username,articleTitle,likeStatus,skipStatus
thh,Steelers vs. Commanders game: How to watch,like,didn't like
thh,Bond market on risky path as traders regroup from turbulent week - Yahoo Finance,like,skip
gig,House Oversight calls on FEMA director to testify after official tells workers to avoid homes with Trump signs - Fox News,like,skip
thh,Steelers vs. Commanders game: How to watch,like,didn't like
thh,Dow Jones Futures: Bitcoin Tops $81,like,didn't like
thh,Bond Market on Risky Path as Traders Regroup From Wild Week - Yahoo Finance,didn't like,
thh,Colts CB Kenny Moore calls out teammates after loss to Bills: ‘I don’t think the effort is there’ - Yahoo Sports,didn't like,
thh,Apple Intelligence Features Like ChatGPT Hit iPhones in iOS 18.2 Beta - CNET,didn't like,
thh,Early Alzheimer’s Damage Found To Happen Quietly, Long Before Symptoms Appear - SciTechDaily,didn't like
thh,How a stubborn computer scientist accidentally launched the deep learning boom - Ars Technica,didn't like,
thh,Android 15 just made 2024's best phone even better - Android Central,didn't like,
thh,Two SpaceX launches today: Everything to know about twin launches from Cape Canaveral - Florida Today,didn't like,
thh,2025 NFL Draft Order: Where the league's 32 teams stand after Week 10 - Pro Football Focus,like,
thh,Melbourne,like,
thh,Detroit Lions produce incredible comeback to defeat Houston Texans despite Jared Goff’s five interceptions - CNN,didn't like,
gig,On the AFC side,like,
gig,Schumer withholds Senate orientation invite from McCormick - POLITICO,like,
thh,2025 NFL Draft Order: Where the league's 32 teams stand after Week 10 - Pro Football Focus,like,
thh,Schumer withholds Senate orientation invite from McCormick - POLITICO,like,
thh,China roads blocked by thousands of cyclists in night quest for dumplings - BBC.com,like,
gig,President-elect Trump demanded Sunday that the next Senate GOP leader allow him to make recess appointments,like,
gig,PFT’s Week 10 2024 NFL results and recap - NBC Sports,like,
gig,Aaron Rodgers has been swallowed and eaten alive by the Same Old Jets - New York Post ,like,
gig,Almost two years after the last episode of the show aired,like,
gig,The Northern Taurid meteor shower could produce fireballs. Here’s how to watch - CNN,like,
gig,Wildfire Burning In Two States Turns Deadly - The Weather Channel,like,
thh,Republicans inch closer to formally locking up House majority - POLITICO,like,
thh,Giannis Antetokounmpo called a ‘child’ by Jaylen Brown after fake handshake fiasco - CNN,didn't likedidn't skip,
thh,Heres our weekly game-by-game look at the day that was,like,
gig,Heres our weekly game-by-game look at the day that was,didn't likedidn't skip,
gig,Israeli fire kills 30 Palestinians as tanks roll into central Gaza camp - Reuters,like,
gig,Giannis Antetokounmpo called a ‘child’ by Jaylen Brown after fake handshake fiasco - CNN,didn't like,skip
gig,PFT’s Week 10 2024 NFL results and recap - NBC Sports,didn't like,skip
z,Trump Gears Up for Assault on Wokeness With Education Overhaul - The Wall Street Journal,like,
z,So on Monday morning,didn't like,skip
z,Trump Gears Up for Assault on Wokeness With Education Overhaul - The Wall Street Journal,like,
thh,In fact,didn't like,skip
thh,Later in the week,like,
gig,Donald Trump to appoint immigration hawk Stephen Miller as deputy chief of staff - Financial Times,like,
thh,So on Monday morning,like,
thh,Donald Trump to appoint immigration hawk Stephen Miller as deputy chief of staff - Financial Times,like,
thh,Indiana Jones and the Great Circle - Official Gameplay Deep Dive Trailer - IGN,like,
thh,Trump picks Kristi Noem to serve as his Homeland Security secretary - CNN,like,
gig,So on Monday morning,like,
gig,Trump picks Kristi Noem to serve as his Homeland Security secretary - CNN,didn't like,didn't skip
thh,Archaeologists identify centuries-old battle site in Iraq using declassified spy satellite images - CNN,didn't like,didn't skip
thh,In the study,didn't like,didn't skip
thh,Trump Gears Up for Assault on Wokeness With Education Overhaul - The Wall Street Journal,didn't like,skip
thh,So on Monday morning,didn't like,didn't skip
thh,Super Nintendo World’s New Donkey Kong Land Looks Like a Wild Ride - Gizmodo,like,
thh,Together,didn't like,didn't skip
thh,Zerocam zero-process camera launches on Android - 9to5Google,like,
thh,Amsterdam fears another night of unrest as it grapples with antisemitism and violence - CNN,didn't like,didn't skip
thh,Zerocam zero-process camera launches on Android - 9to5Google,like,
thh,Pentagon leaker Jack Teixeira sentenced to 15 years on federal charges - ABC News,didn't like,didn't skip
